variable,label_clean,label,wave,value_labels_sample,n_waves,cluster_id,domains,primary_domain,all_domains
q143e,e to impose a lockdown for a long time,143e To impose a lockdown for a long time,Wave6,Missing = -1; Not applicable = 0; Always = 1,1,-1,['other'],other,other
q145other,other specify responses,145. Other specify responses,Wave6,,1,-1,['other'],other,other
q146a,political leaders,political leaders,Wave3,Missing = -1; Strongly agree = 1; Somewhat agree = 2,1,-1,['other'],other,other
q157b,b does china do more good or harm to the region,q157b. Does China do more good or harm to the region? (Whether the most influence country is China or not.),Wave3,Missing = -1; Not applicable = 0; Much more good than harm = 1,1,-1,['other'],other,other
q159a,a considering all the effort that you and your family members have made in the past do you think the income that your family currently receives is fair or not fair 6 categories,"159a Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-6 categories?",Wave4,Missing = -1; Very fair = 1; Fair = 2,1,-1,['other'],other,other
q172b,b an economic crisis that has caused the loss of many jobs,172b An economic crisis that has caused the loss of many jobs,Wave6,Missing = -1; Not applicable = 0; Very justified = 1,1,-1,['other'],other,other
q172d,d a security crisis due to social unrest or terrorism,172d A security crisis due to social unrest or terrorism,Wave6,Missing = -1; Not applicable = 0; Very justified = 1,1,-1,['other'],other,other
q172e,e the country is at war,172e The country is at war,Wave6,Missing = -1; Not applicable = 0; Very justified = 1,1,-1,['other'],other,other
q173other,other specify responses,173. Other specify responses,Wave6,,1,-1,['other'],other,other
q179other,other specify responses,179. Other specify responses,Wave6,,1,-1,['other'],other,other
q180other,other sepcify responses,180. Other sepcify responses,Wave6,,1,-1,['other'],other,other
q185Other,other specify responses,185. Other specify responses,Wave6,,1,-1,['other'],other,other
q18_other,other specify responses,18 Other specify responses,Wave6,,1,-1,['other'],other,other
q19_other,other specify responses,19 Other specify responses,Wave6,,1,-1,['other'],other,other
q20_other,other specify responses,20 Other specify responses,Wave6,,1,-1,['other'],other,other
q21_other,other specify responses,21 Other specify responses,Wave6,,1,-1,['other'],other,other
q34other,other specify responses,34. Other specify responses,Wave6,,1,-1,['other'],other,other
q51_5,question 51 05 cell phone short message sms,Question 51.05 Cell phone short message (SMS),Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['other'],other,other
q51_7,question 51 07 other,Question 51.07 Other,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['other'],other,other
q51_8,magazine,Magazine,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['other'],other,other
q51b_Twitter,b twitter,51b Twitter,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51c_Instagram,c instagram,51c Instagram,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51d_Youtube,d youtube,51d Youtube,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51e_Tiktok,e tiktok,51e Tiktok,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51f_Messenger,f messenger,q51f Messenger,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51g_Telegram,g telegram,q51g Telegram,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51h_Line,h line,q51h Line,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51i_Whatsapp,i whatsapp,q51i Whatsapp,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51j_Snapchat,j snapchat,q51j Snapchat,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51k_Vchat,k vchat,q51k Vchat,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q51l_Tumblr,l tumblr,q51l Tumblr,Wave6,Missing = -1; Not applicable = 0; Yes = 1,1,-1,['other'],other,other
q53other,other specify responses,53. Other specify responses,Wave6,,1,-1,['other'],other,other
q54other,other specify responses,54. Other specify responses,Wave6,,1,-1,['other'],other,other
q78a,a do you strongly agree or just agree with the chosen statement,q78a. Do you strongly agree or just agree with the chosen statement?,Wave3,Missing = -1; Not applicable = 0; Strongly agree = 1,1,-1,['other'],other,other
q80a,a do you strongly agree or just agree with the chosen statement,80a. Do you strongly agree or just agree with the chosen statement?,Wave4,Missing = -1; Not applicable = 0; Strongly agree = 1,1,-1,['other'],other,other
q81a,a do you strongly agree or just agree with the chosen statement,81a. Do you strongly agree or just agree with the chosen statement?,Wave4,Missing = -1; Not applicable = 0; Strongly agree = 1,1,-1,['other'],other,other
q83a,a do you strongly agree or just agree with the chosen statement,83a Do you strongly agree or just agree with the chosen statement?,Wave5,Missing = -1; Not applicable = 0; Strongly agree = 1,1,-1,['other'],other,other
q84a,a do you strongly agree or just agree with the chosen statement,84a Do you strongly agree or just agree with the chosen statement?,Wave5,Missing = -1; Not applicable = 0; Strongly agree = 1,1,-1,['other'],other,other
q85a,a do you strongly agree or just agree with the chosen statement,85a Do you strongly agree or just agree with the chosen statement?,Wave5,Missing = -1; Not applicable = 0; Strongly agree = 1,1,-1,['other'],other,other
q91_1,to you what does democracy mean what else,"To you, what does ""democracy"" mean?  What else?",Wave2,Don't understand the question = 95; Unclassifiable = 96; No substance in answer = 97,1,-1,['other'],other,other
q91_2,second response,Second Response,Wave2,Don't understand the question = 95; Unclassifiable = 96; No substance in answer = 97,1,-1,['other'],other,other
q91_3,third response,Third Response,Wave2,Don't understand the question = 95; Unclassifiable = 96; No substance in answer = 97,1,-1,['other'],other,other
q97a,a what are the most important problems facing this country that government should address second,97a What are the most important problems facing this country that government should address? Second,Wave6,Missing = -1; Not applicable = 0; Management of the economy = 1,1,-1,['other'],other,other
q97aother,a other specify responses,97a. Other specify responses,Wave6,,1,-1,['other'],other,other
q97b,b what are the most important problems facing this country that government should address third,97b What are the most important problems facing this country that government should address? Third,Wave6,Missing = -1; Not applicable = 0; Management of the economy = 1,1,-1,['other'],other,other
q97bother,b other specify responses,97b. Other specify responses,Wave6,,1,-1,['other'],other,other
q97other,other specify responses,97. Other specify responses,Wave6,,1,-1,['other'],other,other
q99a,a what are the second most important problems facing this country 2nd,99a. What are the second most important problems facing this country? 2nd,Wave4,Missing = -1; Not applicable = 0; Management of the economy = 1,1,-1,['other'],other,other
q99b,b what are the third most important problems facing this country 3rd,99b. What are the third most important problems facing this country? 3rd,Wave4,Missing = -1; Not applicable = 0; Management of the economy = 1,1,-1,['other'],other,other
q126,i have the ability to participate in politics,I have the ability to participate in politics,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly disagree = 1; Somewhat disagree = 2; Somewhat agree = 3,6,-1,['participation'],participation,participation
q151,a citizen who does not actively participate in the affairs of his local and national community is not performing his duties,A citizen who does not actively participate in the affairs of his local and national community is not performing his duties,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,"['participation', 'local_government', 'identity']",participation,participation; local_government; identity
q78,if possible i don t want to get involved in political matters,"If possible, I don't want to get involved in political matters","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['participation'],participation,participation
q022,how frequently do you participate,How frequently do you participate?,Wave1,Never = 1; Rarely = 2; Sometimes = 3,1,-1,['participation'],participation,participation
q027,have you participated in last election,Have you participated in last election?,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,"['participation', 'voting']",participation,participation; voting
q107,people like me can have an influence on government is better than before,People like me can have an influence on government- is better than before?,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Much worse = 1; Somewhat worse = 2; Much the same = 3,6,-1,['political_efficacy'],political_efficacy,political_efficacy
q129,people like me don t have any influence over what the government does,People like me don't have any influence over what the government does,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['political_efficacy'],political_efficacy,political_efficacy
q49,how interested would you say you are in politics,How interested would you say you are in politics,"Wave2, Wave3, Wave4, Wave5, Wave6",Not at all interested = 1; Not very interested = 2; Somewhat interested = 3,5,-1,['political_interest'],political_interest,political_interest
q056,how interested would you say you are interested in politics,How interested would you say you are interested in politics?,Wave1,Not at all interested = 1; Not very interested = 2; Somewhat interested = 3,1,-1,['political_interest'],political_interest,political_interest
q148,as long as a political leader enjoys majority support he should implement his own agenda and disregard the view of the,"As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['social_capital'],social_capital,social_capital
q27,on average about how many people do you have contact with in a typical week day,"On average, about how many people do you have contact with in a typical week day?","Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; 0-4 people = 1; 5-9 people = 2,5,-1,['social_capital'],social_capital,social_capital
q28,how often are you asked to help influence important decisions in other people s favor,How often are you asked to help influence important decisions in other people's favor?,"Wave2, Wave3, Wave4, Wave5, Wave6",Never = 1; Seldom = 2; Occasionally = 3,5,-1,['social_capital'],social_capital,social_capital
q29,and are there people you could ask to help influence important decisions in your favor,And are there people you could ask to help influence important decisions in your favor?,"Wave2, Wave3, Wave4, Wave5, Wave6","No, nobody = 1; Yes, a few = 2; Yes, some = 3",5,-1,['social_capital'],social_capital,social_capital
q30,do you agree or disagree with the following statement by helping people in trouble today someone else will help me when i am in trouble someday,"Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday.","Wave2, Wave3, Wave4, Wave5, Wave6",Agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['social_capital'],social_capital,social_capital
q47,how easy is it to obtain help from the police when you need it,How easy is it to obtain: Help from the police when you need it,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; Very Difficult = 1; Difficult = 2,5,-1,['social_capital'],social_capital,social_capital
q58,when one has conflict with a neighbor the best way to deal with it is to accommodate the other person,"When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['social_capital'],social_capital,social_capital
q65,people should always support the decisions of their government even if they disagree with them,People should always support the decisions of their government even if they disagree with them,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['social_capital'],social_capital,social_capital
q69,how often do you have personal contact with foreigners,How often do you have personal contact with foreigners?,"Wave2, Wave3, Wave4, Wave5, Wave6",Almost daily = 1; At least once a week = 2; At least once a month = 3,5,-1,['social_capital'],social_capital,social_capital
q72,if a government policy serves the interests of the majority of people i should support it,"If a government policy serves the interests of the majority of people, I should support it","Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,['social_capital'],social_capital,social_capital
q79,contacted government administrative official,Contacted government (administrative) official,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['social_capital'],social_capital,social_capital
q80,contacted officials at higher level,Contacted officials at higher level,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['social_capital'],social_capital,social_capital
q81,contacted elected officials or legislative representatives at any level,Contacted elected officials or legislative representatives at any level,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['social_capital'],social_capital,social_capital
q85,contacted other influential people,Contacted other influential people,"Wave2, Wave3, Wave4, Wave5, Wave6",Once = 1; More than once = 2; Never = 3,5,-1,['social_capital'],social_capital,social_capital
q025,i have enough friends and connections so that i can get help if i need it,I have enough friends and connections so that I can get help if I need it,Wave1,Applies very well = 1; Applies pretty well = 2; Doesn't apply much = 3,1,-1,['social_capital'],social_capital,social_capital
q046,influential_neighbor friend,Influential_NEIGHBOR/FRIEND,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q066,when one has a conflict with a neighbor the best way to deal with it is to accommodate the other person,"When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",Wave1,Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,1,-1,['social_capital'],social_capital,social_capital
q073,contacted any government official to express your opinions,Contacted any government official to express your opinions?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,['social_capital'],social_capital,social_capital
q074,contacted officials to express your opinions at higher level,Contacted officials to express your opinions at higher level?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,['social_capital'],social_capital,social_capital
q075,contacted elected legislative representatives at any level,contacted elected legislative representatives at any level?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,['social_capital'],social_capital,social_capital
q080,contacted other people,Contacted other people?,Wave1,Once = 1; More than once = 2; Never done = 9,1,-1,['social_capital'],social_capital,social_capital
q081,did you do this alone or with others _contacted government official,Did you do this alone or with others?_contacted government official,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q082,did you do this alone or with others _contacted officials at higher level,Did you do this alone or with others?_contacted officials at higher level,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q083,did you do this alone or with others _contacted elected legislative representatives at any level,Did you do this alone or with others?_contacted elected legislative representatives at any level,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q088,did you do this alone or with others _contacted other people,Did you do this alone or with others?_contacted other people,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q089,gift or dinner_contacted government,Gift or dinner_contacted government,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q090,gift or dinner_contacted officials at highter level,Gift or dinner_contacted officials at highter level,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q091,gift or dinner_contacted elected legislative representatives,Gift or dinner_contacted elected legislative representatives,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q096,gift or dinner_contacted other people,Gift or dinner_contacted other people,Wave1,No = 1; Yes(with others) = 2; Not applicable = 97,1,-1,['social_capital'],social_capital,social_capital
q51_6,question 51 06 personal contact,Question 51.06 Personal contact,Wave2,Not applicable = 0; Yes = 1; No = 2,1,-1,['social_capital'],social_capital,social_capital
q69a,a in the past three years have you ever contacted elected officials or legislative representatives at any level 4 categories,"69a In the past three years, have you ever contacted elected officials or legislative representatives at any level-4 categories",Wave4,Missing = -1; I have done this more than once = 1; I have done this once = 2,1,-1,['social_capital'],social_capital,social_capital
q70a,a contacted officials at higher level 4 categories,70a  Contacted officials at higher level--4 categories.,Wave4,Missing = -1; I have done this more than once = 1; I have done this once = 2,1,-1,['social_capital'],social_capital,social_capital
q72a,a contacted other influential people outside the government 4 categories,72a  Contacted other influential people outside the government-4 categories.,Wave4,Missing = -1; I have done this more than once = 1; I have done this once = 2,1,-1,['social_capital'],social_capital,social_capital
q138,if we have political leaders who are morally upright we can let them decide everything,"If we have political leaders who are morally upright, we can let them decide everything","Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,['traditional_values'],traditional_values,traditional_values
q131,you can generally trust the people who run our government to do what is right,You can generally trust the people who run our government to do what is right,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,"['trust_institutional', 'trust_interpersonal']",trust_institutional,trust_institutional; trust_interpersonal
q11,trust in parliament,Trust in Parliament,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,"['trust_institutional', 'legislature']",trust_institutional,trust_institutional; legislature
q12,trust in civil service,Trust in Civil service,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_institutional'],trust_institutional,trust_institutional
q13,trust in the military or armed forces,Trust in the military(or armed forces),"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_institutional'],trust_institutional,trust_institutional
q14,trust in the police,Trust in the police,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_institutional'],trust_institutional,trust_institutional
q15,trust in local government,Trust in local government,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,"['trust_institutional', 'local_government']",trust_institutional,trust_institutional; local_government
q7,trust in prime minister or president,Trust in Prime Minister or president,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_institutional'],trust_institutional,trust_institutional
q8,trust in the courts,Trust in the Courts,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,"['trust_institutional', 'judiciary']",trust_institutional,trust_institutional; judiciary
q9,trust in the national government,Trust in the national government,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_institutional'],trust_institutional,trust_institutional
q007,how much trust do you have in the courts,How much trust do you have in the courts?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,"['trust_institutional', 'judiciary']",trust_institutional,trust_institutional; judiciary
q008,how much trust do you have in the national government,How much trust do you have in the national government?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['trust_institutional'],trust_institutional,trust_institutional
q010,how much trust do you have in parliament,How much trust do you have in Parliament?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,"['trust_institutional', 'legislature']",trust_institutional,trust_institutional; legislature
q011,how much trust do you have in civil service,How much trust do you have in civil service?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['trust_institutional'],trust_institutional,trust_institutional
q012,how much trust do you have in the military,How much trust do you have in the military?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['trust_institutional'],trust_institutional,trust_institutional
q013,how much trust do you have in the police,How much trust do you have in the police?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['trust_institutional'],trust_institutional,trust_institutional
q014,how much trust do you have in local government,How much trust do you have in local government?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,"['trust_institutional', 'local_government']",trust_institutional,trust_institutional; local_government
q018,how much trust do you have in non governmental organizations,How much trust do you have in non-governmental organizations?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,"['trust_institutional', 'civil_society']",trust_institutional,trust_institutional; civil_society
q018_1,trust police station,TRUST POLICE STATION,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['trust_institutional'],trust_institutional,trust_institutional
q24,how much trust do you have in your relatives,How much trust do you have in your relatives?,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_interpersonal'],trust_interpersonal,trust_interpersonal
q25,how much trust do you have in your neighbors,How much trust do you have in your neighbors?,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,"['trust_interpersonal', 'social_capital']",trust_interpersonal,trust_interpersonal; social_capital
q26,how much trust do you have in other people you interact with,How much trust do you have in other people you interact with?,"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,['trust_interpersonal'],trust_interpersonal,trust_interpersonal
q121,we should get rid of parliament and elections and have a strong leader decide things,We should get rid of parliament and elections and have a strong leader decide things,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,"['voting', 'legislature', 'authoritarianism']",voting,voting; legislature; authoritarianism
q124,we should get rid of parliament and elections and have the experts decide everything,We should get rid of parliament and elections and have the experts decide everything,"Wave1, Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,6,-1,"['voting', 'legislature', 'authoritarianism']",voting,voting; legislature; authoritarianism
q149,they should enjoy the same right as other citizens to vote in the election of the top leader,They should enjoy the same right as other citizens to vote in the election of the top leader,"Wave2, Wave3, Wave4, Wave5, Wave6",Strongly agree = 1; Somewhat agree = 2; Somewhat disagree = 3,5,-1,"['voting', 'identity']",voting,voting; identity
q18,trust in the election commission singapore international tv,Trust in the election commission(Singapore: International TV),"Wave2, Wave3, Wave4, Wave5, Wave6",None at all = 1; Not Very Much Trust = 2; Quite a Lot of Trust = 3,5,-1,"['voting', 'media']",voting,voting; media
q38,have you voted in the last election,Have you voted in the last election?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,['voting'],voting,voting
q39,which parties or candidates for president if it was presidential race did you vote for,Which parties (or candidates for president if it was presidential race) did you vote for?,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 90; Secret = 94; No answer = 95,5,-1,"['voting', 'identity']",voting,voting; identity
q41,try to persuade others to vote for a certain candidate or party,Try to persuade others to vote for a certain candidate or party,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,['voting'],voting,voting
q42,did you do anything else to help out or work for a party or candidate running in the election,Did you do anything else to help out or work for a party or candidate running in the election,"Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable = 0; No = 1; Yes = 2,5,-1,"['voting', 'social_capital']",voting,voting; social_capital
q43,on the whole how would you rate the freeness and fairness of the last national election,"On the whole, how would you rate the freeness and fairness of the last national election?","Wave2, Wave3, Wave4, Wave5, Wave6","Not applicable = 0; Completely free and fair = 1; Free and fair, but with minor problems = 2",5,-1,['voting'],voting,voting
q90,thinking of whether you voted or not ever since you became eligible for voting how would you describe yourself have you voted,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted","Wave2, Wave3, Wave4, Wave5, Wave6",Not applicable (eligible only once) = 0; Voted in every election = 1; Voted in most elections = 2,5,-1,['voting'],voting,voting
q34a,a did the respondent vote for the winning or losing camp,34a Did the respondent vote for the winning or losing camp?,"Wave4, Wave5, Wave6",Missing = -1; Not applicable = 0; Voted for the winning camp = 1,3,-1,['voting'],voting,voting
q017,how much trust do you have in the election commission,How much trust do you have in the election commission?,Wave1,Not sure = 0; None at all = 1; Not very much trust = 2,1,-1,['voting'],voting,voting
q028,which party did you vote for,Which party did you vote for?,Wave1,Forgot = 96; Not applicable = 97; Don't know = 98,1,-1,['voting'],voting,voting
q030,did you try to persuade others to vote for a certain candidate or party,Did you try to persuade others to vote for a certain candidate or party?,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q031,did you do anything else to help or show your support for a party or candidate running in the election,Did you do anything else to help or show your support for a party or candidate running in the election?,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,"['voting', 'social_capital']",voting,voting; social_capital
q032,asked to vote for a particular candidate _family member relative,Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q033,asked following personally ask you to vote for a particular candidate _seniors in a clan or extended family,Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q034,asked to vote for a particular candidate _neighbor friend,Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,"['voting', 'social_capital']",voting,voting; social_capital
q035,asked to vote for a particular candidate _community leaders,Asked to vote for a particular candidate?_COMMUNITY LEADERS,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,"['voting', 'local_government']",voting,voting; local_government
q036,asked to vote for a particular candidate _superior at work school,Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q037,asked to vote for a particular candidate _owners of the firm unit that you work for,Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q038,asked to vote for a particularcandidate _member official of organization that you belong to,Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,"['voting', 'civil_society']",voting,voting; civil_society
q039,asked to vote for a particular candidate _government official whom you know personally,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q040,asked to vote for a particular candidate _government official whom you don t know,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q041,asked to vote for a particular candidate _candidate party activist whom you know personally,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q042,asked to vote for a particular candidate _candidate party activist whom you dont know,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q043,asked to vote for a particular candidate _others,Asked to vote for a particular candidate?_OTHERS,Wave1,No = 1; Yes = 2; Not applicable = 97,1,-1,['voting'],voting,voting
q33a,a based on the answer to q33 please construct a new variable indicating if the respondent voted for the winning camp or losing camp,"q33a. Based on the answer to Q33, please construct a new variable indicating if the respondent voted for the winning camp or losing camp.",Wave3,Missing = -1; Not applicable = 0; Voted for the winning camp = 1,1,-1,['voting'],voting,voting
q39a,if the respondent voted for the winning camp or loosing camp,If the respondent voted for the winning camp or loosing camp?,Wave2,Not applicable = 0; Voted for the winning camp(governing party) = 1; Voted for the losing camp(opposition party) = 2,1,-1,['voting'],voting,voting
