variable,label,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6
q158,158 Do you think the government should increase or decrease the inflow of foreigners who come to work in our country?,,,,,✓,
q158,158 Do you think the government should increase or decrease the inflow of foreign immigrants into the country.,,,,,,✓
q159,Relation: World Bank,,✓,,,,
q159,q159. Which country should be a model for our own country's future development?,,,✓,,,
q159,"159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories?",,,,✓,,
q159,159 How fair do you think income distribution is in the country?,,,,,✓,
q159,159 How fair do you think income distribution in Mongolia,,,,,,✓
q159a,"159a Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-6 categories?",,,,✓,,
q16,Trust in newspaper,,✓,,,,
q16,q16. Newspapers,,,✓,,,
q16,16 Newspaper,,,,✓,,
q16,16 The election commission,,,,,✓,✓
q160,Impression: The European Community or European Union,,✓,,,,
q160,q160. How much influence does China have on our country?,,,✓,,,
q160,"160 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?",,,,✓,,
q160a,160a It is the responsibility of the government to narrow the gap between the rich and the poor,,,,,✓,
q160a,160a Narrow the gap between the rich and the poor,,,,,,✓
q160b,160b It is the responsibility of the government to make sure that everyone has affordable housing,,,,,✓,
q160b,160b Make sure that everyone has affordable housing,,,,,,✓
q160c,160c It is the responsibility of the government to make sure that everyone has access to basic medical care,,,,,✓,
q160c,160c Make sure that everyone has access to basic medical care,,,,,,✓
q160d,160d It is the responsibility of the government to make sure that basic necessitities such as food and shelters are provided for everyone,,,,,✓,
q160d,160d Make sure that basic necessities such as food and shelters are provided for everyone,,,,,,✓
q161,Impression: The United Nations or UN,,✓,,,,
q161,"q161. General speaking, the influence China has on our country is?",,,✓,,,
q161,161 How proud are you to be a citizen of the country? Are you?,,,,✓,,
q161,161 How worried are you that your family might lose its major source of income within the next 12 months?,,,,,✓,✓
q162,Impression: International Monetary Fund or IMF,,✓,,,,
q162,"162 Given the chance, how willing would you be to go and live in another country",,,,✓,,
q162,"162 The following is a hypothetical question: If your family were unfortunate enough to lose its main source of income, how serious would it be for your family?",,,,,✓,
q162,"162 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",,,,,,✓
q163,Impression: World Bank,,✓,,,,
q163,163 Which country has the most influence in Asia?,,,,✓,,
q163,"163 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?",,,,,✓,✓
q164,Impression: United States,,✓,,,,
q164,164 Does the United States do more good or harm to the region?,,,,✓,,
q164,"164 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?",,,,,✓,
q164,"164 As compared to my parent's generation, my generation has more or fewer opportunities to improve the standard of living or   social status?",,,,,,✓
q165,Impression: China,,✓,,,,
q165,165 Does China do more good or harm to the region?,,,,✓,,
q165,165 Will the next generation have had a better or worse life than our generation?,,,,,✓,✓
q166,Impression: Japan,,✓,,,,
q166,"166 In ten years, which country will have the most influence in Asia?",,,,✓,,
q166,166 How proud are you to be a citizen of the country?,,,,,✓,
q166,166 How proud are you to be a citizen of (COUNTRY)? Are you...,,,,,,✓
q167,167 Which country should be a model for our own country's future development?,,,,✓,,
q167,"167 Given the chance, how willing would you be to go and live in another country?",,,,,✓,✓
q168,168 How much influence does China have on our country?,,,,✓,,
q168,"168 Under a democratic system, the country endures poor economic performance",,,,,✓,
q168,"168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary",,,,,,✓
q169,"169 General speaking, the influence China has on our country is?",,,,✓,,
q169,169 Democratic regimes are indecisive and full of problems,,,,,✓,
q169,"169 As long as a government can solve our country’s economic problem, it does not matter if the government holds regular elections or not",,,,,,✓
q17,Trust in television,,✓,,,,
q17,q17. Television,,,✓,,,
q17,17 Television,,,,✓,,
q17,17 Non-government organizations or NGOs,,,,,✓,✓
q170,170 How much influence does the United States have on our country?,,,,✓,,
q170,170 Democratic systems are not effective at maintaining order and stability,,,,,✓,
q170,170This country needs a leader who can break the rules if necessary to get things done,,,,,,✓
q171,"171 General speaking, the influence the United States has on our country is?",,,,✓,,
q171,171 The citizens in our country are not prepared for a democratic system,,,,,✓,
q171,"171 As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic",,,,,,✓
q172,172 How close do you feel to ASEAN? (ASEAN countries only),,,,✓,,
q172,172 Democracy negatively affects social and ethical values in our country,,,,,✓,
q172a,172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic,,,,,,✓
q172b,172b An economic crisis that has caused the loss of many jobs,,,,,,✓
q172c,172c Widespread corruption that the president [PM] claims can only be reduced by increasing executive power,,,,,,✓
q172d,172d A security crisis due to social unrest or terrorism,,,,,,✓
q172e,172e The country is at war,,,,,,✓
q173,"173 As long as a government can solve our country's economic problem, it does not matter if it is democratic or not democratic",,,,,✓,
q173,173 Which country has the most influence in Asia?,,,,,,✓
q173other,173. Other specify responses,,,,,,✓
q174,174 Which country has the most influence in Asia?,,,,,✓,
q174,174 Does USA do more good or harm to the Asia?,,,,,,✓
q175,175 Does the United States do more good or harm to Asia?,,,,,✓,
q175,"175 Generally speaking, the influence the United States today has on world affairs is?",,,,,,✓
q176,176 The influence of the U.S. on world affairs today is negative or positive?,,,,,✓,
q176,176 Does China do more good or harm to the Asia?,,,,,,✓
q177,177  Does China do more good or harm to Asia?,,,,,✓,
q177,"177 Generally speaking, the influence China today has on world affairs is?",,,,,,✓
q178,178 The infulece of China on world affairs today is negative or positive?,,,,,✓,
q178,"178 Generally speaking, the influence the E.U. today has on world affairs is?",,,,,,✓
q179,"179 In ten years, which country will have the most influence in Asia?",,,,,✓,
q179,"179  In ten years, which country will have the most influence in Asia?",,,,,,✓
q179other,179. Other specify responses,,,,,,✓
q18,Trust in the election commission(Singapore: International TV),,✓,,,,
q18,q18. The election commission [specify institution by name] <Optional>,,,✓,,,
q18,18 The election commission,,,,✓,,
q18,18. Name of the organization you belong to. First,,,,,✓,
q18,18 Name of the organization you belong to. First,,,,,,✓
q180,180 Which country should be a model for our own country's future development?,,,,,✓,✓
q180other,180. Other sepcify responses,,,,,,✓
q181,181 How much influence does China have on our country?,,,,,✓,✓
q182,"182 General speaking, the influence China has on our country is?",,,,,✓,
q182,"182 Generally speaking, the influence China has on our country is?",,,,,,✓
q183,183 How much influence does the United States have on our country?,,,,,✓,
q183,183 How much influence does USA have on our country?,,,,,,✓
q184,"184 General speaking, the influence the United States has on our country is?",,,,,✓,
q184,"184 General speaking, the influence USA has on our country is?",,,,,,✓
q185,185 Which aspect about the Asian power's influence and impact you have in mind when answering the above questions?,,,,,✓,
q185,185 Which aspect of the major power’s influence and impact you have in mind when answering the above questions?,,,,,,✓
q185Other,185. Other specify responses,,,,,,✓
q186,186 How close do you feel to ASEAN?(ASEAN countries only)?,,,,,✓,
q186,186 How close do you feel to ASEAN? (ASEAN countries only),,,,,,✓
q18_other,18 Other specify responses,,,,,,✓
q19,Trust in NGOs,,✓,,,,
q19,q19. Non-governmental organizations or NGOs <Optional>,,,✓,,,
q19,19 Non-government organizations or NGOs,,,,✓,,
q19,19. Name of the organization you belong to. Second,,,,,✓,
q19,19 Name of the organization you belong to. Second,,,,,,✓
q19_other,19 Other specify responses,,,,,,✓
q2,How would you describe the change in the economic condition of our country over the last years?,,✓,,,,
q2,q2. How would you describe the change in the economic condition of our country over the last few years,,,✓,,,
q2,2. How would you dsecribe the change in the economic condition of our country over the last few years?,,,,✓,✓,
q2,2 How would you describe the change in the economic condition of our country over the last few years?,,,,,,✓
q20,Are you a member of any organization or formal groups?,,✓,,,,
q20,q20. Could you identity the three most important organizations or formal groups you belong to. First Organization,,,✓,,,
q20,20. Name of the organization you belong to. First,,,,✓,,
q20,20. Name of the organization that you belong to. Third,,,,,✓,
q20,20 Name of the organization that you belong to. Third,,,,,,✓
q20_1,First organization,,✓,,,,
q20_2,Second organization,,✓,,,,
q20_3,Third organization,,✓,,,,
q20_other,20 Other specify responses,,,,,,✓
q21,q21. Second Organization,,,✓,,,
q21,21. Name of the organization you belong to. Second,,,,✓,,
q21,21  Which organization you participate most actively in the last 12 months?,,,,,✓,
q21,21 Which organization you participate most actively in the last 12 months?',,,,,,✓
q21_other,21 Other specify responses,,,,,,✓
q22,q22. Third Organization,,,✓,,,
q22,22. Name of the organization that you belong to. Third,,,,✓,,
q22,"22 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",,,,,✓,
q22,22 Would you say that 'Most people can be trusted' or 'that you must be very careful in dealing with people'?,,,,,,✓
q23,"General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?",,✓,,,,
q23,"q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",,,✓,,,
q23,"23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",,,,✓,,
q23,23 Do you agree with the statement that 'most people are trustworthy?',,,,,✓,✓
q24,How much trust do you have in your relatives?,,✓,,,,
q24,"q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)",,,✓,,,
q24,24. Do you ageee with the statement 'Most people are trustworthy',,,,✓,,
q24,24 How much trust do you have in each of the following types of people? Your relatives,,,,,✓,✓
q25,How much trust do you have in your neighbors?,,✓,,,,
q25,q25. How much trust do you have in each of the following types of people?   Your relatives,,,✓,,,
q25,"25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?",,,,✓,,
q25,25 Trust in your neighbors,,,,,✓,✓
q26,How much trust do you have in other people you interact with?,,✓,,,,
q26,q26. Your neighbors,,,✓,,,
q26,26. How much do you trust your relatives?,,,,✓,,
q26,26 Trust in other people you interact with,,,,,✓,✓
q27,"On average, about how many people do you have contact with in a typical week day?",,✓,,,,
q27,q27. Other people you interact with,,,✓,,,
q27,27. Trust your neighbors,,,,✓,,
q27,27 Trust in people you meet for the first time,,,,,✓,✓
q28,How often are you asked to help influence important decisions in other people's favor?,,✓,,,,
q28,"q28. On average, about how many people do you have contact with in a typical week day?  We are interested in contact on a one-on-one basis, including everyone with whom you chat, talk, or discuss matters.  This can be face to face, by telephone, by mail,",,,✓,,,
q28,28. Trust other people you interact with,,,,✓,,
q28,28 How many people do you have contact within a typical week day?,,,,,✓,
q28,28 How many people do you have contact with in a typical week day?,,,,,,✓
q29,And are there people you could ask to help influence important decisions in your favor?,,✓,,,,
q29,"q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW)",,,✓,,,
q29,29. How many people do you have contact within a typical week day?,,,,✓,,
q29,29 Which of the following best describes your relations with most of your social contacts?,,,,,✓,✓
q3,What do you think will be the state of our country's economic condition a few years from now?,,✓,,,,
q3,q3. What do you think will be the state of our country's economic condition a few years from now? Will it be …,,,✓,,,
q3,3. What do you think will be the state of our country's economic condition a few years from now?,,,,✓,✓,
q3,3 What do you think will be the state of our country's economic condition a few years from now?,,,,,,✓
q30,"Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday.",,✓,,,,
q30,"q30. When people outside your household have problems, do they come to you for help? (NEW)",,,✓,,,
q30,"30. If you have a difficult problem to manage, are there people outside your household you can ask for help?",,,,✓,,
q30,"30 Among these people you have frequent contacts, which of the following best describes the political views of these people?",,,,,✓,✓
q31,Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions?,,✓,,,,
q31,"q31. If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them? (NEW)",,,✓,,,
q31,"31. When people outside your household have problems, do they come to you for help?",,,,✓,,
q31,"31 If you have a difficult problem to manage, are there people outside your household you can ask for help?",,,,,✓,✓
q32,"Generally speaking, how safe is living in this city/town/village?",,✓,,,,
q32,"q32. In talking to people about elections, we often find that a lot of people were not able to vote because they were away from home, they were sick or they just didn't have time. How about you? Did you vote in the election [the most recent national elect",,,✓,,,
q32,"32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",,,,✓,✓,✓
q33,"Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before?",,✓,,,,
q33,q33. Which parties (or candidates for president if it was presidential race) did you vote for? [country-specific response grid],,,✓,,,
q33,33 Did you vote in the last national election?,,,,✓,✓,
q33,33 Did you vote in the national election?,,,,,,✓
q33a,"q33a. Based on the answer to Q33, please construct a new variable indicating if the respondent voted for the winning camp or losing camp.",,,✓,,,
q34,"Have you been a victim of car, motorcycle or bicycle theft?",,✓,,,,
q34,"q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?",,,✓,,,
q34,34 Which parties or candidates did you vote for?,,,,✓,✓,✓
q34a,34a Did the respondent vote for the winning or losing camp?,,,,✓,✓,✓
q34other,34. Other specify responses,,,,,,✓
q35,Have you been a victim of pick-pocketing/robbery of personal property?,,✓,,,,
q35,q35. try to persuade others to vote for a certain candidate or party?,,,✓,,,
q35,35. Did you attend a campaign meeting or rally?,,,,✓,,
q35,35. Did you attend a campaign meeting or rally in the last national election?,,,,,✓,
q35,35 Did you attend a campaign meeting or rally in the last national election?,,,,,,✓
q36,Have you been a victim of break-in at your home?,,✓,,,,
q36,q36. Did you do anything else to help out or work for a party or candidate running in the election?,,,✓,,,
q36,36. Try to persudae others to vote for a certain candidate or party?,,,,✓,✓,
q36,36 Try to persuade others to vote for a certain candidate or party?,,,,,,✓
q37,Have you been a victim of physical violence?,,✓,,,,
q37,"q37. On the whole, how free and fair would you say the last national election was? (NEW)",,,✓,,,
q37,37. Did you do anything else to help out or work for a party or candidate running in the last national election?,,,,✓,✓,
q37,37 Did you do anything else to help out or work for a party or candidate running in the last national election?,,,,,,✓
q38,Have you voted in the last election?,,✓,,,,
q38,"q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport)",,,✓,,,
q38,"38.On the whole, how free and fair would you say the last national election was?",,,,✓,,
q38,"38 On the whole, how free and fair would you say the last national election was?",,,,,✓,✓
q39,Which parties (or candidates for president if it was presidential race) did you vote for?,,✓,,,,
q39,q39. A place in a public primary school for a child,,,✓,,,
q39,39. How easy or difficult to obtain an identity document service,,,,✓,,
q39,39 How easy or difficult to obtain roads in good condition,,,,,✓,
q39,39 How easy or difficult to obtain the roads in good condition,,,,,,✓
q39a,If the respondent voted for the winning camp or loosing camp?,,✓,,,,
q4,"As for your own family, how do you rate your economic situation today?",,✓,,,,
q4,"q4. As for your own family, how do you rate the economic situation of your family today?  Is it …",,,✓,,,
q4,"4. As for your own family, how do you rate the economic situation of your family today?",,,,✓,✓,
q4,"4 As for your own family, how do you rate the economic situation of your family today?",,,,,,✓
q40,Attend a campaign meeting or rally,,✓,,,,
q40,q40. Medical treatment at a nearby clinic,,,✓,,,
q40,40. How easy or difficult to obtain a place in a public primirary school for a child,,,,✓,,
q40,40 How easy or difficult to obtain running water,,,,,✓,✓
q41,Try to persuade others to vote for a certain candidate or party,,✓,,,,
q41,q41. Help from the police when you need it,,,✓,,,
q41,41. How easy or difficult to obtain medical treatment at nearby clinic,,,,✓,,
q41,41 How easy or difficult to obtain public transportation,,,,,✓,✓
q42,Did you do anything else to help out or work for a party or candidate running in the election,,✓,,,,
q42,"q42. Generally speaking, how safe is living in this city/ town/ village - very safe, safe, unsafe or very unsafe?",,,✓,,,
q42,42. How easy or difficult to obtain help from the police when you need it,,,,✓,,
q42,42 How easy or difficult to obtain healthcare,,,,,✓,✓
q43,"On the whole, how would you rate the freeness and fairness of the last national election?",,✓,,,,
q43,q43. How interested would you say you are in politics?,,,✓,,,
q43,43. How safe is living in this city/ town/ village,,,,✓,,
q43,43 How easy or difficult to obtain help from the pollice when you need it,,,,,✓,
q43,43 How easy or difficult to obtain help from the police when you need it,,,,,,✓
q44,How easy is it to obtain: An identity document,,✓,,,,
q44,q44. How often do you follow news about politics and government?,,,✓,,,
q44,44. How interested would you say you are in politics?,,,,✓,,
q44,44 How easy or difficult to obtain access to the internet,,,,,✓,
q44,44 How easy or difficult to obtain access to the Internet,,,,,,✓
q45,How easy is it to obtain: A place in public primary school for a child,,✓,,,,
q45,q45. How often do you use the internet?,,,✓,,,
q45,45. How often do you follow news about politics and government?,,,,✓,,
q45,"45 Generally speaking, how safe is living in this city/town/village?",,,,,✓,
q45,45 How easy or difficult to obtain childcare,,,,,,✓
q46,How easy is it to obtain: Medical treatment at a nearby clinic,,✓,,,,
q46,"q46. When you get together with your family members or friends, how often do you discuss political matters?",,,✓,,,
q46,"46. When you get together with your family members or friends, how often do you discuss political matters",,,,✓,,
q46,46 How interested would you say you are in politics?,,,,,✓,
q46,"46 Generally speaking, how safe is living in this city/town/village?",,,,,,✓
q47,How easy is it to obtain: Help from the police when you need it,,✓,,,,
q47,"q47. Among the political parties listed here, which party if any do you feel closest to?",,,✓,,,
q47,47. Do you have Internet access at home?,,,,✓,,
q47,47 How often do you follow news about politics and government?,,,,,✓,
q47,47 How interested would you say you are in politics?,,,,,,✓
q48,How would you describe the present political situation in our country,,✓,,,,
q48,"q48. How close do you feel to (answer in Q47)? Is it very close, somewhat close, or just a little close?",,,✓,,,
q48,48. Do you have Internet access on a mobile phone?,,,,✓,,
q48,"48 When you get together with your family members or friends, how often do you discuss political matters?",,,,,✓,
q48,48 How often do you follow news about politics and government?,,,,,,✓
q49,How interested would you say you are in politics,,✓,,,,
q49,"q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy?",,,✓,,,
q49,49. How often do you use the internet?,,,,✓,,
q49,"49 How often do you use the internet, either through computer, tablet or smartphone?",,,,,✓,
q49,"49 When you get together with your family members or friends, how often do you discuss political matters?",,,,,,✓
q5,How would you compare the current economic condition of your family with what it was a few years ago?,,✓,,,,
q5,q5. How would you compare the current economic condition of your family with what it was a few years ago? Is it …,,,✓,,,
q5,5. How would you compare the current economic condition of your family with what it was a few years ago?,,,,✓,✓,
q5,5 How would you compare the current economic condition of your family with what it was a few years ago?,,,,,,✓
q50,How often do you follow news about politics and government,,✓,,,,
q50,"q50. For the sake of the family, the individual should put his personal interests second",,,✓,,,
q50,50. Do you currently use any of the following social media networks?,,,,✓,,
q50,"50 Do you currently use any of the following social media networks?(E.g. facebook, twitter, telegram, whatsapp, youtube, tumblr, instagram, snapchat, etc.)",,,,,✓,
q50,"50 How often do you use the internet, either through computer, tablet or smartphone?",,,,,,✓
q51,"q51. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",,,✓,,,
q51,51. How often do you use the Internet or social media networks to find information about politics and government?,,,,✓,,
q51_1,Main source of information. Question 51.01 Television,,✓,,,,
q51_2,Question 51.02 Newspaper,,✓,,,,
q51_3,Question 51.03 Radio,,✓,,,,
q51_4,Question 51.04 Internet,,✓,,,,
q51_5,Question 51.05 Cell phone short message (SMS),,✓,,,,
q51_6,Question 51.06 Personal contact,,✓,,,,
q51_7,Question 51.07 Other,,✓,,,,
q51_8,Magazine,,✓,,,,
q51a,From Q51 Which is most important,,✓,,,,
q51a,51a You use social media primarily to connect with other people,,,,,✓,
q51a_Facebook,51a Which social media and text messaging services do you actively use? Facebook,,,,,,✓
q51b,51b You use social media primarily to expresss my opinion on political issues,,,,,✓,
q51b_Twitter,51b Twitter,,,,,,✓
q51c,51c You use social media primarily to share news or information,,,,,✓,
q51c_Instagram,51c Instagram,,,,,,✓
q51d,51d You use social media primarily for work,,,,,✓,
q51d_Youtube,51d Youtube,,,,,,✓
q51e_Tiktok,51e Tiktok,,,,,,✓
q51f_Messenger,q51f Messenger,,,,,,✓
q51g_Telegram,q51g Telegram,,,,,,✓
q51h_Line,q51h Line,,,,,,✓
q51i_Whatsapp,q51i Whatsapp,,,,,,✓
q51j_Snapchat,q51j Snapchat,,,,,,✓
q51k_Vchat,q51k Vchat,,,,,,✓
q51l_Tumblr,q51l Tumblr,,,,,,✓
q52,"When you get together with your family members or friends, how often do you discuss political matters?",,✓,,,,
q52,"q52. For the sake of national interest, individual interest could be sacrificed.",,,✓,,,
q52,52. How often do you use the Internet or social media networks to express your opinion about politics and government?,,,,✓,,
q52,52 Which one is the most important channel for you to find information about politics and government?,,,,,✓,
q52a,52a How often do you use social media to talk to or to connect with other people?,,,,,,✓
q52b,52b How often do you use social media to express my opinion on political issues?,,,,,,✓
q52c,52c How often do you use social media to share news or information?,,,,,,✓
q52d,52d How often do you use social media to organize to influence politics?,,,,,,✓
q53,How much impact do you feel government politics have on your daily life?,,✓,,,,
q53,"q53. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",,,✓,,,
q53,"53.Among the political parties listed here, which party if any do you feel closest to?",,,,✓,,
q53,53 How much trust do you have in each of the following types of media?Television,,,,,✓,
q53,53 Which one is the most important channel for you to find information about politics and government?,,,,,,✓
q53other,53. Other specify responses,,,,,,✓
q54,"Among the political parties listed here, which party if any do you feel closest to?",,✓,,,,
q54,"q54. When dealing with others, one should not only focus on immediate interest but also plan for future.",,,✓,,,
q54,54. How close do you feel to (answer in q53)?,,,,✓,,
q54,54 How much trust do you have in each of the following types of media?Newspaper,,,,,✓,
q54,"54 Among the political parties listed here, which party if any do you feel closest to?",,,,,,✓
q54other,54. Other specify responses,,,,,,✓
q55,How close do you feel to the party(answer in Q54)?,,✓,,,,
q55,"q55. Even if parents' demands are unreasonable, children still should do what they ask.",,,✓,,,
q55,"55 For the sake of the family, the individual should put his personal interests second.",,,,✓,,
q55,55 How much trust do you have in each of the following types of media? News on the internet,,,,,✓,
q55,"55 How close do you feel to (answer in Q54)? Is it very close, somewhat close, or just a little close?",,,,,,✓
q56,"Even if parents' demands are unreasonable, children still should do what they ask",,✓,,,,
q56,"q56. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",,,✓,,,
q56,"56. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",,,,✓,,
q56,"56 Among the political parties listed here, which party if any do you feel closest to?",,,,,✓,
q56,"56 For the sake of the family, the individual should put his personal interests second.",,,,,,✓
q57,"Being a student, one should not question the authority of their teacher",,✓,,,,
q57,"q57. Being a student, one should not question the authority of their teacher.",,,✓,,,
q57,"57. For the sake of national interest, individual interest could be sacrificed.",,,,✓,,
q57,"57 How close do you feel to (answer in Q56)? Is it very close, somewhat close, or just a little close?",,,,,✓,
q57,"57 In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",,,,,,✓
q58,"When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person",,✓,,,,
q58,"q58. In a group, we should avoid open quarrel to preserve the harmony of the group",,,✓,,,
q58,"58. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",,,,✓,,
q58,"58 For the sake of the family, the individual should put his personal interests second.",,,,,✓,
q58,"58 For the sake of national interest, individual interest could be sacrificed.",,,,,,✓
q59,A person should not insist on his own opinion if his co-workers disagree with him,,✓,,,,
q59,"q59. Even if there is some disagreement with others, one should avoid the conflict",,,✓,,,
q59,"59. When dealing with others, one should not only focus on immediate interest but also plan for future.",,,,✓,,
q59,"59 In a group, we should sacrifice our individual interest for the sake of the groups collective interest.",,,,,✓,
q59,"59 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",,,,,,✓
q6,What do you think the economic situation of your family will be a few years from now?,,✓,,,,
q6,q6. What do you think the economic situation of your family will be a few years from now? Will it be …,,,✓,,,
q6,6. What do you think the economic situation of your family will be a few years from now?,,,,✓,✓,
q6,6 What do you think the economic situation of your family will be a few years from now?,,,,,,✓
q60,"For the sake of the family, the individual should put his personal interests second",,✓,,,,
q60,q60. A person should not insist on his own opinion if his co-workers disagree with him,,,✓,,,
q60,"60. Even if parents' demands are unreasonable, children still should do what they ask.",,,,✓,,
q60,"60 For the sake of national interest, individual interest could be sacrificed.",,,,,✓,
q60,"60 Even if parents' demands are unreasonable, children still should do what they ask.",,,,,,✓
q61,Sometimes one has to follow one's own beliefs regardless of what other people think,,✓,,,,
q61,"q61. Wealth and poverty, success and failure are all determined by fate.",,,✓,,,
q61,"61. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",,,,✓,,
q61,"61 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",,,,,✓,
q61,"61 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",,,,,,✓
q62,"When dealing with others, securing one's immediate interests should be more important than developing a long-term",,✓,,,,
q62,"q62. If one could have only one child, it is more preferable to have a boy than a girl.",,,✓,,,
q62,"62. Being a student, one should not question the authority of their teacher.",,,,✓,,
q62,"62 Even if parents' demands are unreasonable, children still should do what they ask.",,,,,✓,
q62,"62 Being a student, one should not question the authority of their teacher.",,,,,,✓
q63,Open quarrels (criticisms) among politicians are harmful to society,,✓,,,,
q63,"q63. When dealing with others, one should not be preoccupied with temporary gains and losses.",,,✓,,,
q63,"63. In a group, we should avoid open quarrel to preserve the harmony of the group.",,,,✓,,
q63,"63 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",,,,,✓,
q63,"63 In a group, we should avoid open quarrel to preserve the harmony of the group.",,,,,,✓
q64,The relationship between the government and the people should be like that between parents and children,,✓,,,,
q64,"q64. In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ",,,✓,,,
q64,"64. Even if there is some disagreement with others, one should avoid the conflict.",,,,✓,,
q64,"64 Being a student, one should not question the authority of their teacher.",,,,,✓,
q64,"64 Even if there is some disagreement with others, one should avoid the conflict.",,,,,,✓
q65,People should always support the decisions of their government even if they disagree with them,,✓,,,,
q65,q65. Contacted officials at higher level.,,,✓,,,
q65,65. A person should not insist on his own opinion if his co-workers disagree with him.,,,,✓,,
q65,"65 In a group, we should avoid open quarrel to preserve the harmony of the group.",,,,,✓,
q65,65 A person should not insist on his own opinion if his co-workers disagree with him.,,,,,,✓
q66,How often do you use the internet?,,✓,,,,
q66,q66. Contacted traditional leaders/community leaders.,,,✓,,,
q66,"66. Wealth and poverty, success and failure are all determined by fate.",,,,✓,,
q66,"66 Even if there is some disagreement with others, one should avoid the conflict.",,,,,✓,
q66,"66 Wealth and poverty, success and failure are all determined by fate.",,,,,,✓
q67,How closely do you follow major events in foreign countries/the world?,,✓,,,,
q67,q67. Contacted other influential people outside the government,,,✓,,,
q67,"67. If one could have only one child, it is more preferable to have a boy than a girl.",,,,✓,,
q67,67 A person should not insist on his own opinion if his co-workers disagree with him.,,,,,✓,
q67,"67 If one could have only one child, it is more preferable to have a boy than a girl.",,,,,,✓
q68,"Have you traveled abroad before? If you have, how often do you travel abroad?",,✓,,,,
q68,q68. Contacted news media,,,✓,,,
q68,"68. When dealing with others, one should not be preoccupied with temporary gains and losses.",,,,✓,,
q68,"68 Wealth and poverty, success and failure are all determined by fate.",,,,,✓,
q68,"68 In the past three years, have you ever contacted elected officials or legislative representatives at any level?",,,,,,✓
q69,How often do you have personal contact with foreigners?,,✓,,,,
q69,"q69. Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have never, once, or more than once done any of these things during the past three years.   Got together with others to try t",,,✓,,,
q69,"69 In the past three years, have you ever contacted elected officials or legislative representatives at any level-3 categories",,,,✓,,
q69,"69 If one could have only one child, it is more preferable to have a boy than a girl.",,,,,✓,
q69,69  Contacted civil servants or officials,,,,,,✓
q69a,"69a In the past three years, have you ever contacted elected officials or legislative representatives at any level-4 categories",,,,✓,,
q7,Trust in Prime Minister or president,,✓,,,,
q7,"q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The president",,,✓,,,
q7,7 Trust in the excutive office (president or prime minister),,,,✓,✓,✓
q70,We should give up gains in the present for the possibility of larger gains in the future,,✓,,,,
