variable,Wave1,Wave2,Wave3,Wave4,Wave5,Wave6,primary_domain,all_domains,n_waves
q58,,"When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person","q58. In a group, we should avoid open quarrel to preserve the harmony of the group","58. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.","58 For the sake of the family, the individual should put his personal interests second.","58 For the sake of national interest, individual interest could be sacrificed.",social_capital,social_capital,5
q65,,People should always support the decisions of their government even if they disagree with them,q65. Contacted officials at higher level.,65. A person should not insist on his own opinion if his co-workers disagree with him.,"65 In a group, we should avoid open quarrel to preserve the harmony of the group.",65 A person should not insist on his own opinion if his co-workers disagree with him.,social_capital,social_capital,5
q69,,How often do you have personal contact with foreigners?,"q69. Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have never, once, or more than once done any of these things during the past three years.   Got together with others to try t","69 In the past three years, have you ever contacted elected officials or legislative representatives at any level-3 categories","69 If one could have only one child, it is more preferable to have a boy than a girl.",69  Contacted civil servants or officials,social_capital,social_capital,5
q72,,"If a government policy serves the interests of the majority of people, I should support it",q72. Used force or violence for a political cause,72  Contacted other influential people outside the government-3 categories.,"72 Contacted other influential people outside the government, such as traditional leaders/community leaders.",72  Signed a paper or online petition?,social_capital,social_capital,5
q79,,Contacted government (administrative) official,"q79. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o",79. Which of the following statements do you agree with most?,79 Attended a demonstration or protest march,"79 In recent years and thinking about election campaigns, has a candidate or someone from a political party or campaign team offered you something, like food, cash, a gift, or a job in return for your vote or support?",social_capital,social_capital,5
q80,,Contacted officials at higher level,"q80. Over the long run, our system of government is capable of solving the problems our country faces.",80. which of the following statements do you agree with most?,80 Taken an action or done something for a political cause that put you in a risk of getting injured,"80  Over the long run, our system of government is capable of solving the problems our country faces.",social_capital,social_capital,5
q81,,Contacted elected officials or legislative representatives at any level,"q81. Thinking in general, I am proud of our system of government.",81. which of the following statements do you agree with most?,"81 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?","81  Thinking in general, I am proud of our system of government.",social_capital,social_capital,5
q85,,Contacted other influential people,"q85. Many things may be desirable, but not all of them are essential characteristics of democracy. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics o","85 A system like ours, even if it runs into problems, deserves the people's support",85 Which of the following statements do you agree with most? political leader,85 Which one would you choose as the most essential characteristics of a democracy: Set 1?,social_capital,social_capital,5
q025,I have enough friends and connections so that I can get help if I need it,,,,,,social_capital,social_capital,1
q046,Influential_NEIGHBOR/FRIEND,,,,,,social_capital,social_capital,1
q066,"When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",,,,,,social_capital,social_capital,1
q073,Contacted any government official to express your opinions?,,,,,,social_capital,social_capital,1
q074,Contacted officials to express your opinions at higher level?,,,,,,social_capital,social_capital,1
q075,contacted elected legislative representatives at any level?,,,,,,social_capital,social_capital,1
q080,Contacted other people?,,,,,,social_capital,social_capital,1
q081,Did you do this alone or with others?_contacted government official,,,,,,social_capital,social_capital,1
q082,Did you do this alone or with others?_contacted officials at higher level,,,,,,social_capital,social_capital,1
q083,Did you do this alone or with others?_contacted elected legislative representatives at any level,,,,,,social_capital,social_capital,1
q088,Did you do this alone or with others?_contacted other people,,,,,,social_capital,social_capital,1
q089,Gift or dinner_contacted government,,,,,,social_capital,social_capital,1
q090,Gift or dinner_contacted officials at highter level,,,,,,social_capital,social_capital,1
q091,Gift or dinner_contacted elected legislative representatives,,,,,,social_capital,social_capital,1
q096,Gift or dinner_contacted other people,,,,,,social_capital,social_capital,1
q51_6,,Question 51.06 Personal contact,,,,,social_capital,social_capital,1
q69a,,,,"69a In the past three years, have you ever contacted elected officials or legislative representatives at any level-4 categories",,,social_capital,social_capital,1
q70a,,,,70a  Contacted officials at higher level--4 categories.,,,social_capital,social_capital,1
q72a,,,,72a  Contacted other influential people outside the government-4 categories.,,,social_capital,social_capital,1
q138,"If we have political leaders who are morally upright, we can let them decide everything","If the government is constantly checked by the legislature, it cannot possibly accomplish great things","q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws.","138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",138 Only one political party should be allowed to stand for election and hold office,138 Have you or your family members previously contracted the Covid-19 virus?,traditional_values,traditional_values,6
q131,You can generally trust the people who run our government to do what is right,"Generally speaking, we can trust the local government officials to do the right things",q131. The army (military) should come in to govern the country.,131 Only one political party should be allowed to stand for election and hold office.,131 Where would you place India today on this scale?,131 The army (military) should come in to govern the country.,trust_institutional,trust_institutional; trust_interpersonal,6
q11,,Trust in Parliament,q11. Parliament,11 Parliament,11 Parliament,11 Parliament,trust_institutional,trust_institutional; legislature,5
q12,,Trust in Civil service,q12. Civil service,12 Civil service,12 Civil service,12 Civil Service,trust_institutional,trust_institutional,5
q13,,Trust in the military(or armed forces),q13. The military(or armed forces),13 The military,13 The military or armed force,13 The military or armed forces,trust_institutional,trust_institutional,5
q14,,Trust in the police,q14. The police,14 The police,14 The police,14 The police,trust_institutional,trust_institutional,5
q15,,Trust in local government,q15. Local government,15 Local government,15 Local government,15 Local government,trust_institutional,trust_institutional; local_government,5
q7,,Trust in Prime Minister or president,"q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The president",7 Trust in the excutive office (president or prime minister),7 Trust in the excutive office (president or prime minister),7 Trust in the excutive office (president or prime minister),trust_institutional,trust_institutional,5
q8,,Trust in the Courts,q8. The courts,8 The courts,8 The courts,8 The courts,trust_institutional,trust_institutional; judiciary,5
q9,,Trust in the national government,q9. The national government [in capital city],9 National government in the capital city,9 National government in the capital city,9 National government in the capital city,trust_institutional,trust_institutional,5
q007,How much trust do you have in the courts?,,,,,,trust_institutional,trust_institutional; judiciary,1
q008,How much trust do you have in the national government?,,,,,,trust_institutional,trust_institutional,1
q010,How much trust do you have in Parliament?,,,,,,trust_institutional,trust_institutional; legislature,1
q011,How much trust do you have in civil service?,,,,,,trust_institutional,trust_institutional,1
q012,How much trust do you have in the military?,,,,,,trust_institutional,trust_institutional,1
q013,How much trust do you have in the police?,,,,,,trust_institutional,trust_institutional,1
q014,How much trust do you have in local government?,,,,,,trust_institutional,trust_institutional; local_government,1
q018,How much trust do you have in non-governmental organizations?,,,,,,trust_institutional,trust_institutional; civil_society,1
q018_1,TRUST POLICE STATION,,,,,,trust_institutional,trust_institutional,1
q24,,How much trust do you have in your relatives?,"q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)",24. Do you ageee with the statement 'Most people are trustworthy',24 How much trust do you have in each of the following types of people? Your relatives,24 How much trust do you have in each of the following types of people? Your relatives,trust_interpersonal,trust_interpersonal,5
q25,,How much trust do you have in your neighbors?,q25. How much trust do you have in each of the following types of people?   Your relatives,"25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?",25 Trust in your neighbors,25 Trust in your neighbors,trust_interpersonal,trust_interpersonal; social_capital,5
q26,,How much trust do you have in other people you interact with?,q26. Your neighbors,26. How much do you trust your relatives?,26 Trust in other people you interact with,26 Trust in other people you interact with,trust_interpersonal,trust_interpersonal,5
q121,We should get rid of parliament and elections and have a strong leader decide things,Which of the following statements comes closest to your own opinion?,q121. Where would you place the United States today on this scale?,121 Where would you place China today on this scale?,121 How well do you think the government responds to what people want?,121 Where would you place the United States of America today on this scale?,voting,voting; legislature; authoritarianism,6
q124,We should get rid of parliament and elections and have the experts decide everything,We should get rid of parliament and elections and have a strong leader decide things,q124. Which of the following statements comes closest to your own opinion?,124 Where would you place India on this scale?,124 How widespread do you think corruption and bribe-taking are in your local/municipal government?,124 Which of the following statements comes closest to your own opinion?,voting,voting; legislature; authoritarianism,6
q149,,They should enjoy the same right as other citizens to vote in the election of the top leader,q149. How closely do you follow major events in foreign countries / the world?,"149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",149 Government leaders are like the head of a family; we should all follow their decisions,149 Government leaders are like the head of a family; we should all follow their decisions.,voting,voting; identity,5
q18,,Trust in the election commission(Singapore: International TV),q18. The election commission [specify institution by name] <Optional>,18 The election commission,18. Name of the organization you belong to. First,18 Name of the organization you belong to. First,voting,voting; media,5
q38,,Have you voted in the last election?,"q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport)","38.On the whole, how free and fair would you say the last national election was?","38 On the whole, how free and fair would you say the last national election was?","38 On the whole, how free and fair would you say the last national election was?",voting,voting,5
q39,,Which parties (or candidates for president if it was presidential race) did you vote for?,q39. A place in a public primary school for a child,39. How easy or difficult to obtain an identity document service,39 How easy or difficult to obtain roads in good condition,39 How easy or difficult to obtain the roads in good condition,voting,voting; identity,5
q41,,Try to persuade others to vote for a certain candidate or party,q41. Help from the police when you need it,41. How easy or difficult to obtain medical treatment at nearby clinic,41 How easy or difficult to obtain public transportation,41 How easy or difficult to obtain public transportation,voting,voting,5
q42,,Did you do anything else to help out or work for a party or candidate running in the election,"q42. Generally speaking, how safe is living in this city/ town/ village - very safe, safe, unsafe or very unsafe?",42. How easy or difficult to obtain help from the police when you need it,42 How easy or difficult to obtain healthcare,42 How easy or difficult to obtain healthcare,voting,voting; social_capital,5
q43,,"On the whole, how would you rate the freeness and fairness of the last national election?",q43. How interested would you say you are in politics?,43. How safe is living in this city/ town/ village,43 How easy or difficult to obtain help from the pollice when you need it,43 How easy or difficult to obtain help from the police when you need it,voting,voting,5
q90,,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted",q90. In your opinion how much of a democracy is [Country Name] ?,90. which one would you choose as the most essential characteristics of a democracy?,"90 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?","90 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",voting,voting,5
q34a,,,,34a Did the respondent vote for the winning or losing camp?,34a Did the respondent vote for the winning or losing camp?,34a Did the respondent vote for the winning or losing camp?,voting,voting,3
q017,How much trust do you have in the election commission?,,,,,,voting,voting,1
q028,Which party did you vote for?,,,,,,voting,voting,1
q030,Did you try to persuade others to vote for a certain candidate or party?,,,,,,voting,voting,1
q031,Did you do anything else to help or show your support for a party or candidate running in the election?,,,,,,voting,voting; social_capital,1
q032,Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,,,,,,voting,voting,1
q033,Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,,,,,,voting,voting,1
q034,Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,,,,,,voting,voting; social_capital,1
q035,Asked to vote for a particular candidate?_COMMUNITY LEADERS,,,,,,voting,voting; local_government,1
q036,Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,,,,,,voting,voting,1
q037,Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,,,,,,voting,voting,1
q038,Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,,,,,,voting,voting; civil_society,1
q039,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,,,,,,voting,voting,1
q040,Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,,,,,,voting,voting,1
q041,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,,,,,,voting,voting,1
q042,Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,,,,,,voting,voting,1
q043,Asked to vote for a particular candidate?_OTHERS,,,,,,voting,voting,1
q33a,,,"q33a. Based on the answer to Q33, please construct a new variable indicating if the respondent voted for the winning camp or losing camp.",,,,voting,voting,1
q39a,,If the respondent voted for the winning camp or loosing camp?,,,,,voting,voting,1
